smiles,e_t
Cc1cc(NS(=O)(=O)c2ccc3c(c2)CCO3)no1,75.86340179375838
Cc1cccc(NC(=O)C(=S)N2CCOCC2)c1C,48.35268132435158
N#Cc1c(S)nc(N2CCOCC2)c2c1CCCC2,66.18416257901117
O=C(Nc1nnc(-c2ccsc2)o1)c1cnccn1,66.14820132858586
CC(=O)N1NC(=N)/C(=N\Nc2ccc(Br)cc2)C1=N,42.544275435619056
CC1(C(=O)NC[C@@H]2CCCN(c3cnsn3)C2)CC1,57.02014476782642
Cc1c([N+](=O)[O-])c2onc(C)c2[n+]([O-])c1C,41.94717053452041
S=C(NC1CC1)N1CCN(Cc2ccco2)CC1,68.03723978658672
CN1c2ncccc2CN(CC2CC2)CC[C@@H]1CO,71.59761820727726
Cc1ccccc1C1(NS(=O)(=O)N2CCCC2)CC1,79.17559437896125
COCC[C@@H]1CCOC2(C1)CN(C(=O)[C@@H]1C[C@@H]1C)C2,88.98519303335343
COc1c(OC2COC2)cccc1[N+](=O)[O-],54.64957109431271
Cc1csc(S(=O)(=O)NCCSc2n[nH]c(C)n2)c1,63.38581387139857
Fc1ccccc1-c1nnn(Cc2ccccn2)n1,73.8727071020985
CC(C)(C)OC(=O)N1CC[C@@H]2O[C@@H]2CC1,93.00669901887886
Nc1c(C(=O)N2CCOCC2)sc(=S)n1C1CC1,51.100281187566
O=C(c1ccco1)N1CC(n2cc(C3CC3)nn2)C1,66.11339315224905
Cc1nn2c(CN3CCCCCC3)nnc2s1,74.31727712671272
O=C(CN1C(=O)c2ccccc2C1=O)c1ccc[nH]1,67.18416796333622
C=C1[C@@H](O)C[C@@H]2[C@H](O)[C@@]3(C)CCC(C)(C)[C@H]3[C@@]12O,56.565618541731965
CCCCCCCNC(=O)CCC(=O)NCCOC,91.76204183662776
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,51.07971955789253
CCCc1ccc(C(=O)O)cc1,73.48318719892995
O=[N+]([O-])c1ccc(-c2nc3cncnc3[nH]2)cc1,58.185067511862144
CN(C)S(=O)(=O)Nc1nc2ccccc2s1,72.4919130555354
Cc1csc(S(=O)(=O)Cc2nc(C3CC3)n[nH]2)n1,61.85111795726698
CN(CC(=O)N1CC[C@@H]1c1ccc(F)cc1)C(N)=O,77.88355023879558
CO[C@@H]1CSC2(C1)CN(C(=O)c1ccoc1C)C2,68.67340302397497
O=C[C@@H]1COCCN1Cc1ccccc1,63.73139589925995
CCC1(CC)[C@@H](OC)[C@@H](C)[C@H]1NC(=O)CC(=N)O,89.96151204092894
COC[C@]1(O)CCN(C(=O)CC2CCC2)CC1(C)C,86.2906769629335
Cc1c(Cl)cccc1/N=C1\C(=N)NN(N)C1=N,35.13855895935558
CC(C)(C)n1nc(CC(N)=O)nc1[C@@H]1CC12CCC2,82.48134054720867
CN(C(=O)c1ccc2cc[nH]c2c1)[C@@H]1COC[C@@H]1F,67.93643467710353
Cc1cnc(C2CC2)n1CCNC(=O)C1CCC1,77.96956553682685
CCOc1ccc(CN[C@H](C)C(=O)O)cc1OC,72.86812947271392
CC(C)(C)OC(=O)N1CC[C@@H]2C[C@H](C(=O)O)[C@@H]2C1,97.44713279942516
Cc1nc(C#N)c(C#N)n1CC1CCC1,65.62694580841344
CN1Cc2cccn2C[C@H](CC(=O)NCC2CC2)C1,79.60468981968006
Ic1nc[nH]c1I,57.16290733386995
NC(=O)C1(N[C@@H]2CCC[C@H](C(F)(F)F)C2)CC1,95.17193942540324
N#Cc1ccc(N2CCC2)c([N+](=O)[O-])c1,49.3290779205272
CSc1nc(Cl)cc(N2CCCNCC2)n1,73.15072578948457
COC(=O)C1(CNCc2ccnn2C)CCCCC1,85.68057082267478
Cc1occc1S(=O)(=O)Cc1ncnn1CC(C)C,70.3946486634668
CC(C)(C)OC(=O)NCCOCCOCCC(=O)O,101.78269563091452
COC(=O)c1cn2c(n1)OC=C(Br)C2,58.81507784733549
COC(=O)C[C@@H]1CSc2ccccc2NC1=O,72.94716707488988
CCN1C(=O)[C@H](C)[C@@H]1c1ccccc1,80.4222006542841
C(=N/n1cnnc1)\c1ccc2c(c1)CCC2,48.62420580262551
N#Cc1ccc(N2CCCOCC2)c(F)c1,63.48331367940409
c1cc2ccsc2[nH]1,69.79319070657948
C=CCNC(=O)[C@H](C#N)C(=O)C1C(C)(C)C1(C)C,79.92679684719769
CC(C)(C)C(=O)N1CCC(C(=O)NC2CC2)CC1,81.24347809661413
CC1(C#N)CN(c2ncnc3[nH]ccc23)C1,68.80673772009322
O=C(/C=C1/SC(=O)NC1=O)NCc1ccccc1,39.941176161170006
CCN1C(=O)/C(=C\NC2CC2)SC1=S,53.67407901620027
Cn1ccc(NC(=O)CN2CCCCCCC2)n1,81.46860174706671
CN1C[C@@H]2CC[C@H](CC1=O)N2S(=O)(=O)c1cccs1,66.450268675806
O=C(c1ccc(C2CC2)nc1O)N1CC2(CC2)C1,71.98588758031838
CCNC(=O)N1CC(S(=O)(=O)c2ccc(Cl)cc2)C1,74.99924567132257
CN1CC=C(c2ccc([N+](=O)[O-])nc2)CC1,41.42650965391658
CN(C)[C@@H]1CCCN(C(=O)c2ccc(N)nc2)CC1,71.11572483857162
O=C1NCCCn2cc(I)cc21,71.25979125418235
c1cc(CCn2nnc3c2CCCC3)sn1,75.48413025517948
O=C(c1noc2c1CCCCC2)N1CCOCC1,72.76831179868896
CN1[C@@H]2CC[C@@H]1CN(S(=O)(=O)c1ccccc1)CC2,81.15182439342607
CCS(=O)(=O)[C@@H]1[C@H](C(=O)O)[C@@H]1c1cccc(Cl)c1,77.41861433174927
CN(C)Cc1csc(CN2C[C@@H]3CC[C@H](C2)NC3)c1,65.42279012757353
N#Cc1cc(F)cc(C2(C(=O)O)CC2)c1,73.03912559978198
CCC(CC)(CO)NCC(=O)N1CCCCCCC1,83.49995934893377
c1ccc(N2CCCCC2)nc1,68.77077729546
O=[N+]([O-])c1ccc2c(c1)OCCOCCO2,57.38927623262862
COc1cc(C=O)cc(OC)c1O[C@H](C)C(=O)O,64.43049297027756
CSc1ccsc1,67.30559878307395
O=C(N[C@@H]1C[C@@H]2OCC[C@@H]21)c1cc(F)cc(F)c1,77.6909810208017
CC1(C/N=C(\N)N2CCCCC2)CCC1,74.67249628825812
